Journal Name,RSS URL,Format
Geomorphology,https://rss.sciencedirect.com/publication/science/0169555X,1
Earth Surface Processes and Landforms,https://onlinelibrary.wiley.com/feed/10969837/most-recent,2
Journal of Geophysical Research: Earth Surface,https://agupubs.onlinelibrary.wiley.com/feed/21699011/most-recent,2
Earth Surface Dynamics,https://esurf.copernicus.org/xml/rss2_0.xml,3
Earth and Planetary Science Letters,https://rss.sciencedirect.com/publication/science/0012821X,1
Sedimentology,https://onlinelibrary.wiley.com/journal/13653091,2
Journal of Sedimentary Research,https://pubs.geoscienceworld.org/rss/site_133/67.xml,4
Sedimentary Geology,https://rss.sciencedirect.com/publication/science/00370738,1
Basin Research,https://onlinelibrary.wiley.com/feed/13652117/most-recent,2
Marine and Petroleum Geology,https://rss.sciencedirect.com/publication/science/02648172,1
Palaeogeography Palaeoclimatology Palaeoecology,https://rss.sciencedirect.com/publication/science/00310182,1
Geological Society of America Bulletin,https://pubs.geoscienceworld.org/rss/site_69/35.xml,4
Geology,https://pubs.geoscienceworld.org/rss/site_65/33.xml,4
PNAS-Geo,https://www.pnas.org/action/showFeed?type=searchTopic&taxonomyCode=topic&tagCode=earth-sci,5
Nature Geoscience,http://feeds.nature.com/ngeo/rss/current,6
Geophysical Research Letters,https://agupubs.onlinelibrary.wiley.com/feed/19448007/most-recent,2
